Plant Exposure,Absorbance,Chlorophyll Concentration,Petiole Length,Stomata Density
Shade,0.204,5.1,26.3,1
Shade,0.252,6.3,35,51
Shade,0.181,4.525,12.3,42
Shade,0.247,6.175,22.3,7
Sun,0.106,2.65,26.25,33
Sun,0.2,5,53.3,34
Sun,0.069,1.725,52.7,91
Shade,0.203,5.075,50,11
Shade,0.102,2.55,27.7,11
Shade,0.18,4.5,24.3,44
Sun,0.16,4,11.7,0
Sun,0.177,4.425,49.3,50
Sun,0.156,3.9,30,51
Shade,0.184,4.6,70.3,23
Shade,0.135,3.375,25,6
Sun,0.217,5.425,46.7,32
Sun,0.285,7.125,23.3,27
Sun,0.128,3.2,40,32
Shade,0.138,3.45,18.3,6
Shade,0.198,4.95,35,10
Sun,0.137,3.275,38,17
Sun,0.161,4.025,40.3,24
Sun,0.153,3.825,55,15
