Group,Low I,Low F,F/I,Med I,Med F,F/I,High I,High F,F/I
1,2,16,8,75,340,4.53333333333333,150,200,1.33333333333333
2,2,12,6,75,81,1.08,150,356,2.37333333333333
3,2,10,5,75,85,1.13333333333333,150,156,1.04
4,2,14,7,75,155,2.06666666666667,150,283,1.88666666666667
5,2,6,3,75,144,1.92,150,465,3.1
6,2,16,8,75,381,5.08,150,658,4.38666666666667
7,2,56,28,75,440,5.86666666666667,,,
8,2,16,8,75,243,3.24,150,788,5.25333333333333
9,2,25,12.5,75,404,5.38666666666667,150,602,4.01333333333333
10,2,11,5.5,75,245,3.26666666666667,150,221,1.47333333333333
11,2,19,9.5,75,250,3.33333333333333,150,586,3.90666666666667
12,2,20,10,75,374,4.98666666666667,150,386,2.57333333333333
13,2,24,12,75,172,2.29333333333333,150,721,4.80666666666667
14,2,27,13.5,75,200,2.66666666666667,150,339,2.26
15,2,9,4.5,75,240,3.2,150,370,2.46666666666667
